Phase,Start Date,End Date,Duration,18-Oct-23,19-Oct-23,20-Oct-23,21-Oct-23,22-Oct-23,23-Oct-23,24-Oct-23,25-Oct-23,26-Oct-23,27-Oct-23,28-Oct-23,29-Oct-23,30-Oct-23,31-Oct-23,01-Nov-23,02-Nov-23,03-Nov-23,04-Nov-23,05-Nov-23,06-Nov-23,07-Nov-23,08-Nov-23,09-Nov-23,10-Nov-23,11-Nov-23,12-Nov-23,13-Nov-23,14-Nov-23,15-Nov-23,16-Nov-23,17-Nov-23,18-Nov-23,19-Nov-23,20-Nov-23,21-Nov-23,22-Nov-23,23-Nov-23,24-Nov-23,25-Nov-23,26-Nov-23,27-Nov-23,28-Nov-23,29-Nov-23,30-Nov-23,01-Dec-23,02-Dec-23,03-Dec-23,04-Dec-23,05-Dec-23,06-Dec-23,07-Dec-23,08-Dec-23,09-Dec-23,10-Dec-23,11-Dec-23,12-Dec-23,13-Dec-23,14-Dec-23,15-Dec-23,16-Dec-23,17-Dec-23,18-Dec-23,19-Dec-23,20-Dec-23,21-Dec-23,22-Dec-23,23-Dec-23,24-Dec-23,25-Dec-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design,18-Oct-23,29-Oct-23,12,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Kick-off,18-Oct-23,20-Oct-23,3,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requirements Gathering,21-Oct-23,25-Oct-23,5,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scope Definition,26-Oct-23,29-Oct-23,4,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measure,30-Oct-23,15-Nov-23,17,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Collection,30-Oct-23,03-Nov-23,5,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric Identification,04-Nov-23,08-Nov-23,5,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Measurement,09-Nov-23,15-Nov-23,7,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analyze,16-Nov-23,30-Nov-23,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Analysis,16-Nov-23,20-Nov-23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Root Cause Analysis,21-Nov-23,25-Nov-23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recommendations,26-Nov-23,30-Nov-23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improvement,01-Dec-23,15-Dec-23,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implementation Planning,01-Dec-23,05-Dec-23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Execution,06-Dec-23,10-Dec-23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verification,11-Dec-23,15-Dec-23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,16-Dec-23,25-Dec-23,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitoring,16-Dec-23,20-Dec-23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation,21-Dec-23,25-Dec-23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
